間崎島,まさきじま,Masakijima,間崎島,34.289717,136.815572,三重県,志摩市,ME,SM,ME_SM_MASAKIJIMA
賢島,かしこじま,Kasikojima,賢島,34.308435,136.818696,三重県,志摩市,ME,SM,ME_SM_KASIKOJIMA
横山島,よこやまじま,Yokoyamajima,横山島,34.30033,136.820138,三重県,志摩市,ME,SM,ME_SM_YOKOYAMAJIMA
沖島,おきしま,Okishima,沖島,35.207667,136.063869,滋賀県,近江八幡市,SIG,OUM,SIG_OUM_OKISHIMA
淡路島,あわじしま,Awajishima,淡路島,34.357592,134.816211,兵庫県,淡路市・洲本市・南あわじ市,HYG,,HYG__AWAJISHIMA
沼島,ぬしま,Nushima,沼島,34.166733,134.824814,兵庫県,南あわじ市,HYG,MAW,HYG_MAW_NUSHIMA
家島,いえしま,Ieshima,家島,34.668058,134.529002,兵庫県,姫路市,HYG,HMJ,HYG_HMJ_IESHIMA
男鹿島,たんがしま,Tangashima,男鹿島,34.663018,134.573729,兵庫県,姫路市,HYG,HMJ,HYG_HMJ_TANGASHIMA
坊勢島,ぼうぜじま,Bozejima,坊勢島,34.645024,134.508979,兵庫県,姫路市,HYG,HMJ,HYG_HMJ_BOZEJIMA
西島,にしじま,Nishijima,西島,34.654143,134.481875,兵庫県,姫路市,HYG,HMJ,HYG_HMJ_NISHIJIMA
中の島,なかのしま,Nakanoshima,中の島,33.621772,135.94575,和歌山県,那智勝浦町,WKY,NCK,WKY_NCK_NAKANOSHIMA
大島,おおしま,Ohshima,大島(串本町),33.469242,135.811365,和歌山県,串本町,WKY,KSM,WKY_KSM_OHSHIMA
島後,どうご,Dogo,島後,36.20915,133.321695,島根県,隠岐の島町,SMN,OKN,SMN_OKN_DOGO
中ノ島,なかのしま,Nakanoshima,中ノ島(海士町),36.085744,133.102013,島根県,海士町,SMN,AM,SMN_AM_NAKANOSHIMA
西ノ島,にしのしま,Nishinoshima,西ノ島,36.083921,132.966021,島根県,西ノ島町,SMN,NSN,SMN_NSN_NISHINOSHIMA
知夫里島,ちぶりしま,Chiburishima,知夫里島,36.01813,133.034062,島根県,知夫村,SMN,CB,SMN_CB_CHIBURISHIMA
大根島,だいこんじま,Daikonjima,大根島,35.494886,133.17113,島根県,松江市,SMN,MTE,SMN_MTE_DAIKONJIMA
江島,えしま,Eshima,江島(松江市),35.516039,133.192258,島根県,松江市,SMN,MTE,SMN_MTE_ESHIMA
鹿久居島,かくいじま,Kakuijima,鹿久居島,34.714248,134.311827,岡山県,備前市,OKY,BZN,OKY_BZN_KAKUIJIMA
大多府島,おおたぶじま,Ohtabujima,大多府島,34.683114,134.295854,岡山県,備前市,OKY,BZN,OKY_BZN_OHTABUJIMA
頭島,かしらじま,Kasirajima,頭島,34.699979,134.286977,岡山県,備前市,OKY,BZN,OKY_BZN_KASIRAJIMA
鴻島,こうじま,Koujima,鴻島,34.699574,134.258562,岡山県,備前市,OKY,BZN,OKY_BZN_KOUJIMA
長島,ながしま,Nagashima,長島(瀬戸内市),34.67355,134.232499,岡山県,瀬戸内市,OKY,STU,OKY_STU_NAGASHIMA
前島,まえじま,Maejima,前島(瀬戸内市),34.608096,134.185076,岡山県,瀬戸内市,OKY,STU,OKY_STU_MAEJIMA
黄島,きじま,Kijima,黄島(瀬戸内市),34.598492,134.195157,岡山県,瀬戸内市,OKY,STU,OKY_STU_KIJIMA
黒島,くろしま,Kuroshima,黒島(瀬戸内市),34.598429,134.159793,岡山県,瀬戸内市,OKY,STU,OKY_STU_KUROSHIMA
犬島,いぬじま,Inujima,犬島,34.56312,134.101973,岡山県,岡山市,OKY,OKY,OKY_OKY_INUJIMA
石島,いしま,Ishima,石島,34.501127,134.016344,岡山県,玉野市,OKY,TMN,OKY_TMN_ISHIMA
松島,まつしま,Matsushima,松島(倉敷市),34.425379,133.817439,岡山県,倉敷市,OKY,KRS,OKY_KRS_MATSUSHIMA
六口島,むぐちじま,Muguchijima,六口島,34.424129,133.768118,岡山県,倉敷市,OKY,KRS,OKY_KRS_MUGUCHIJIMA
高島,たかしま,Takashima,高島(笠岡市),34.429109,133.509003,岡山県,笠岡市,OKY,KSO,OKY_KSO_TAKASHIMA
白石島,しらいしじま,Siraisijima,白石島,34.400536,133.515016,岡山県,笠岡市,OKY,KSO,OKY_KSO_SIRAISIJIMA
北木島,きたぎしま,Kitagisima,北木島,34.379688,133.536658,岡山県,笠岡市,OKY,KSO,OKY_KSO_KITAGISIMA
真鍋島,まなべしま,Manabesima,真鍋島,34.352451,133.572708,岡山県,笠岡市,OKY,KSO,OKY_KSO_MANABESIMA
小飛島,こびしま,Kobisima,小飛島,34.347162,133.521029,岡山県,笠岡市,OKY,KSO,OKY_KSO_KOBISIMA
大飛島,おおびしま,Ohbisima,大飛島,34.341676,133.505394,岡山県,笠岡市,OKY,KSO,OKY_KSO_OHBISIMA
六島,むしま,Musima,六島(笠岡市),34.303512,133.533052,岡山県,笠岡市,OKY,KSO,OKY_KSO_MUSIMA
走島,はしりじま,Hasirijima,走島,34.344373,133.437988,広島県,福山市,HRS,FKY,HRS_FKY_HASIRIJIMA
田島,たしま,Tasima,田島,34.360138,133.314978,広島県,福山市,HRS,FKY,HRS_FKY_TASIMA
横島,よこしま,Yokosima,横島(福山市),34.34427,133.273908,広島県,福山市,HRS,FKY,HRS_FKY_YOKOSIMA
百島,ももしま,Momosima,百島,34.372311,133.266656,広島県,尾道市,HRS,ONM,HRS_ONM_MOMOSIMA
向島,むかいしま,Mukaisima,向島(尾道市),34.379664,133.208608,広島県,尾道市,HRS,ONM,HRS_ONM_MUKAISIMA
岩子島,いわしじま,Iwasijima,岩子島,34.379432,133.162606,広島県,尾道市,HRS,ONM,HRS_ONM_IWASIJIMA
細島,ほそじま,Hosojima,細島,34.36573,133.139589,広島県,尾道市,HRS,ONM,HRS_ONM_HOSOJIMA
因島,いんのしま,Innosima,因島,34.321804,133.165029,広島県,尾道市,HRS,ONM,HRS_ONM_INNOSIMA
佐木島,さぎじま,Sagijima,佐木島,34.340544,133.111713,広島県,三原市,HRS,MHR,HRS_MHR_SAGIJIMA
小佐木島,こさぎじま,Kosagijima,小佐木島,34.363791,133.103832,広島県,三原市,HRS,MHR,HRS_MHR_KOSAGIJIMA
生口島,いくちじま,Ikuchijima,生口島,34.292832,133.106863,広島県,尾道市,HRS,ONM,HRS_ONM_IKUCHIJIMA
高根島,こうねしま,Kounesima,高根島,34.312153,133.072902,広島県,尾道市,HRS,ONM,HRS_ONM_KOUNESIMA
大久野島,おおくのしま,Ohkunojima,大久野島,34.30906,132.993977,広島県,竹原市,HRS,TKH,HRS_TKH_OHKUNOJIMA
契島,ちぎりじま,Chigirijima,契島,34.296821,132.902453,広島県,大崎上島町,HRS,OSK,HRS_OSK_CHIGIRIJIMA
生野島,いくのしま,Ikunosima,生野島,34.287734,132.91493,広島県,大崎上島町,HRS,OSK,HRS_OSK_IKUNOSIMA
大崎上島,おおさきかみじま,Osakikamijima,大崎上島,34.241898,132.871196,広島県,大崎上島町,HRS,OSK,HRS_OSK_OSAKIKAMIJIMA
長島,ながしま,Nagashima,長島(大崎上島町),34.264735,132.86512,広島県,大崎上島町,HRS,OSK,HRS_OSK_NAGASHIMA
大崎下島,おおさきしもじま,Osakshimojima,大崎下島,34.172306,132.829664,広島県,呉市,HRS,KR,HRS_KR_OSAKSHIMOJIMA
三角島,みかどじま,Mikadojima,三角島,34.192867,132.816253,広島県,呉市,HRS,KR,HRS_KR_MIKADOJIMA
豊島,とよしま,Toyoshima,豊島(呉市),34.171778,132.783318,広島県,呉市,HRS,KR,HRS_KR_TOYOSHIMA
斎島,いつきしま,Itsukijima,斎島,34.116892,132.791859,広島県,呉市,HRS,KR,HRS_KR_ITSUKIJIMA
大芝島,おおしばじま,Ohshibajima,大芝島,34.274203,132.801618,広島県,東広島市,HRS,HGS,HRS_HGS_OHSHIBAJIMA
上蒲刈島,かみかまがりじま,Kamikamagarijima,上蒲刈島,34.188723,132.717386,広島県,呉市,HRS,KR,HRS_KR_KAMIKAMAGARIJIMA
下蒲刈島,しもかまがりじま,Shimokamagarijima,下蒲刈島,34.189011,132.663601,広島県,呉市,HRS,KR,HRS_KR_SHIMOKAMAGARIJIMA
情島,なさけじま,Nasakejima,情島(呉市),34.162259,132.574243,広島県,呉市,HRS,KR,HRS_KR_NASAKEJIMA
似島,にのしま,Ninosima,似島,34.306876,132.435619,広島県,広島市,HRS,HRS,HRS_HRS_NINOSIMA
金輪島,かなわじま,Kanawajima,金輪島,34.338813,132.48105,広島県,広島市,HRS,HRS,HRS_HRS_KANAWAJIMA
江田島・能美島,えたじま・のうみじま,Etajima/Noumishima,江田島・能美島,34.256557,132.414088,広島県,江田島市,HRS,ETJ,HRS_ETJ_ETAJIMA_NOUMISHIMA
沖野島,おきのしま,Okinoshima,沖野島,34.153336,132.434391,広島県,江田島市,HRS,ETJ,HRS_ETJ_OKINOSHIMA
